metodo,semilla,silueta,dunn,ari,ami,nmi,distribucion,tamaniosActuales,tamaniosMaximos,primeras5Etiquetas,capacidad
CluORT,0,0.464,0.0,0.652,0.676,0.68,"{'cluster_0': {'total_puntos': 50, 'capacidad_maxima': 50, 'ocupacion': 1.0, 'etiquetas_reales': {np.str_('virginica'): 39, np.str_('versicolor'): 11}}, 'cluster_1': {'total_puntos': 50, 'capacidad_maxima': 50, 'ocupacion': 1.0, 'etiquetas_reales': {np.str_('versicolor'): 39, np.str_('virginica'): 11}}, 'cluster_2': {'total_puntos': 50, 'capacidad_maxima': 50, 'ocupacion': 1.0, 'etiquetas_reales': {np.str_('setosa'): 50}}}",[50 50 50],[50 50 50],"virginica, versicolor, setosa, virginica, setosa",C0 (n=50): ver:11 vir:39<br>C1 (n=50): ver:39 vir:11<br>C2 (n=50): set:50
STREAMKMeans,0,0.384,0.039,0.591,0.62,0.625,"{'cluster_0': {'etiquetasReales': {np.str_('setosa'): 2, np.str_('versicolor'): 18, np.str_('virginica'): 44}, 'total': 64}, 'cluster_1': {'etiquetasReales': {np.str_('setosa'): 48}, 'total': 48}, 'cluster_2': {'etiquetasReales': {np.str_('versicolor'): 32, np.str_('virginica'): 6}, 'total': 38}}","[64, 48, 38]","[50, 50, 50]","virginica, versicolor, setosa, virginica, setosa",C0 (n=64): set:2 ver:18 vir:44<br>C1 (n=48): set:48<br>C2 (n=38): ver:32 vir:6
